,V,B,G
111,0.246,0.0,0.1533772143089165
112,0.258,0.0,0.1842022820461224
113,0.271,0.0,0.2017835186598061
114,0.281,0.0,0.2562005327563734
115,0.295,0.0,0.3108996148202305
116,0.308,0.0,0.3742506107199616
117,0.318,0.0,0.4242735971352745
118,0.326,0.0,0.5074884730175196
119,0.334,0.0,0.5782796369497043
120,0.343,0.0,0.67843429895889
121,0.355,0.0,0.7894054718247575
122,0.365,0.0,0.9328778265714394
123,0.375,0.0,1.010889591685327
124,0.378,0.0,1.176763824728704
125,0.391,0.0,1.2814290035074385
126,0.4,0.0,1.4484094802296503
127,0.415,0.0,1.5347169417565718
128,0.42,0.0,1.658383570323833
129,0.426,0.0,1.7462553860877683
130,0.427,0.0,1.7101237749489004
131,0.435,0.0,1.797085424235464
132,0.438,0.0,1.8318591816694096
133,0.444,0.0,1.8742741776789376
134,0.452,0.0,1.870474790933628
135,0.456,0.0,1.904276719861946
136,0.458,0.0,1.966067104445463
137,0.463,0.0,1.9720834915785
138,0.474,0.0,1.973849117433655
139,0.475,0.0,1.946300972642649
140,0.482,0.0,2.021735874600199
141,0.487,0.0,1.982088453211016
142,0.492,0.0,2.0226409898006343
143,0.497,0.0,1.9383871647627289
144,0.505,0.0,2.037871447028275
145,0.51,0.0,1.9535367068297305
146,0.511,0.0,2.014487136112044
147,0.518,0.0,2.007674021610927
148,0.52,0.0,1.8826558075044564
149,0.528,0.0,1.96241677862468
150,0.533,0.0,1.8613235405134896
151,0.536,0.0,1.936628528139977
152,0.541,0.0,1.7581600862976676
153,0.545,0.0,1.875005096027276
154,0.553,0.0,1.746165994963884
155,0.556,0.0,1.828743372117112
156,0.561,0.0,1.661336538271594
157,0.563,0.0,1.65085020976142
158,0.563,0.0,1.7613429685000033
159,0.576,0.0,1.536945223292301
160,0.576,0.0,1.6796791253234415
161,0.583,0.0,1.4967942293024918
162,0.585,0.0,1.6281729743757634
163,0.593,0.0,1.4210622243555102
164,0.598,0.0,1.375353244643634
165,0.598,0.0,1.5398211803948785
166,0.609,0.0,1.4874669097762545
167,0.61,0.0,1.2993472525023997
168,0.621,0.0,1.265421923280048
169,0.621,0.0,1.4023270266056649
170,0.63,0.0,1.1937769131485363
171,0.634,0.0,1.3575755643575684
172,0.64,0.0,1.185351689384896
173,0.644,0.0,1.2845565438744906
174,0.649,0.0,1.1151274341619055
175,0.655,0.0,1.2274276409732243
176,0.662,0.0,1.0815360593042107
177,0.664,0.0,1.1728730338811162
178,0.668,0.0,1.0307191058909042
179,0.675,0.0,1.1405054829358618
180,0.679,0.0,1.014937438532321
181,0.683,0.0,1.0957416135728286
182,0.69,0.0,0.9993484718482668
183,0.695,0.0,1.063615533956786
184,0.7,0.0,0.9771832261141704
185,0.703,0.0,1.0349954149896945
186,0.714,0.0,0.9451987052431629
187,0.715,0.0,1.0187195117591603
188,0.721,0.0,0.9331409244805214
189,0.722,0.0,1.0062765089796448
190,0.732,0.0,1.1689116325658322
191,0.733,0.0,0.9252964262784
192,0.741,0.0,0.9128981447546616
193,0.752,0.0,0.8988254591653538
194,-0.837647,0.1,0.8273623412158863
195,-0.832,0.1,0.880377945637801
196,-0.827195,0.1,0.8550654765147567
197,-0.824,0.1,0.882484335811089
198,-0.819445,0.1,0.8687268345170448
199,-0.814337,0.1,0.8776395436517408
200,-0.814,0.1,0.90870331258462
201,-0.803,0.1,0.9115310570201132
202,-0.8,0.1,0.936057472320734
203,-0.797872,0.1,0.8958513408140756
204,-0.788,0.1,0.931155165791726
205,-0.786402,0.1,0.9151967306016054
206,-0.778174,0.1,0.936170394788756
207,-0.778,0.1,0.9735034263909116
208,-0.76856,0.1,0.957546193688196
209,-0.765,0.1,0.9927661537911712
210,-0.757392,0.1,0.9745584535474732
211,-0.757,0.1,1.0349581436490192
212,-0.746835,0.1,0.9944400370509814
213,-0.74,0.1,1.0472670291356048
214,-0.738819,0.1,1.0221972981414893
215,-0.734,0.1,1.073045408273616
216,-0.728,0.1,1.0826438847088116
217,-0.724417,0.1,1.061862653668448
218,-0.716395,0.1,1.0989575663898543
219,-0.716,0.1,1.12633446042119
220,-0.707,0.1,1.1449177211300177
221,-0.705289,0.1,1.120508889642074
222,-0.694,0.1,1.1891831242579265
223,-0.692875,0.1,1.1473061347194915
224,-0.686,0.1,1.2076539090201417
225,-0.682813,0.1,1.181612507673068
226,-0.675,0.1,1.2517419111605912
227,-0.67186,0.1,1.213802611799358
228,-0.666,0.1,1.2706053013277867
229,-0.662585,0.1,1.2481874319431772
230,-0.658,0.1,1.3392644348971332
231,-0.654868,0.1,1.2773496515837588
232,-0.646824,0.1,1.326605076750524
233,-0.645,0.1,1.3761428813449208
234,-0.642321,0.1,1.350206725560786
235,-0.635,0.1,1.4292125966396438
236,-0.630952,0.1,1.4025810016370954
237,-0.63,0.1,1.430565265354412
238,-0.623208,0.1,1.4234607096643337
239,-0.622,0.1,1.4918636621481738
240,-0.610563,0.1,1.453275709720356
241,-0.61,0.1,1.495194988426413
242,-0.603286,0.1,1.5089641805003335
243,-0.6,0.1,1.5745631495576915
